batch,threshold,precision,recall,f1_score,total_samples,anomalies,seed
gaussian_batch_05_features.csv,0.0171215,0.9993570234472116,0.9765026178010472,0.987797644267435,477501,23875,123
gaussian_batch_06_features.csv,0.0171215,0.9993632195618952,0.9860104712041884,0.9926419430330374,477501,23875,123
gaussian_batch_07_features.csv,0.0171215,0.9993688196928256,0.9947643979057592,0.9970612930310664,477501,23875,123
gaussian_batch_08_features.csv,0.0171215,0.9992872715076304,0.998324607329843,0.9988057074611856,477501,23875,123
gaussian_batch_09_features.csv,0.0171215,0.9993300954613968,0.9997068062827223,0.9995184153772064,477501,23875,123
gaussian_batch_10_features.csv,0.0171215,0.999371332774518,0.9987434554973822,0.9990572954854928,477501,23875,123
gaussian_batch_11_features.csv,0.0171215,0.9993295621202598,0.998910994764398,0.9991202346041056,477501,23875,123
gaussian_batch_12_features.csv,0.0171215,0.9992881966252146,0.9996230366492148,0.9994555885924872,477501,23875,123
gaussian_batch_13_features.csv,0.0171215,0.99933029174166,1.0,0.9996650337059834,477501,23875,123
gaussian_batch_14_features.csv,0.0171215,0.999288464758078,1.0,0.9996441057633932,477501,23875,123
gaussian_batch_15_features.csv,0.0171215,0.9993720170811354,0.9998324607329844,0.9996021858838802,477501,23875,123
gaussian_batch_16_features.csv,0.02568225,0.9995809412060512,0.9990785340314136,0.999329674473166,477501,23875,123
gaussian_batch_17_features.csv,0.02568225,0.9996650337059834,1.0,0.9998324887976884,477501,23875,123
gaussian_batch_18_features.csv,0.02568225,0.9996231786970357,1.0,0.9998115538432548,477501,23875,123
gaussian_batch_19_features.csv,0.038523375,0.9999580993882512,0.9995811518324608,0.9997695900798056,477501,23875,123
gaussian_batch_20_features.csv,0.038523375,0.9999580835813388,0.9992041884816754,0.9995809938825106,477501,23875,123
gaussian_batch_01_features.csv,0.038523,0.999388379204893,0.0684397905759162,0.1281066248529988,477501,23875,2025
gaussian_batch_02_features.csv,0.0192615,0.9992464204973625,0.8886282722513089,0.9406965659432016,477501,23875,2025
gaussian_batch_03_features.csv,0.0192615,0.999313775947847,0.975916230366492,0.9874764255896252,477501,23875,2025
gaussian_batch_04_features.csv,0.0192615,0.9993270241850684,0.9951413612565444,0.9972298006295908,477501,23875,2025
gaussian_batch_05_features.csv,0.0192615,0.9993018283370424,0.9592041884816754,0.9788425371858436,477501,23875,2025
gaussian_batch_06_features.csv,0.0192615,0.9993574366004112,0.977130890052356,0.988119189309388,477501,23875,2025
gaussian_batch_07_features.csv,0.0192615,0.9993253499747006,0.9926701570680628,0.9959866361286798,477501,23875,2025
gaussian_batch_08_features.csv,0.0192615,0.99937035637829,0.997193717277487,0.9982808503501196,477501,23875,2025
gaussian_batch_09_features.csv,0.0192615,0.9993300954613968,0.9997068062827223,0.9995184153772064,477501,23875,2025
gaussian_batch_10_features.csv,0.0192615,0.9994128501929208,0.9981151832460732,0.9987635952136464,477501,23875,2025
gaussian_batch_11_features.csv,0.0192615,0.999370937303418,0.9981151832460732,0.998742665549036,477501,23875,2025
gaussian_batch_12_features.csv,0.0192615,0.9993298710001676,0.9993717277486912,0.999350798936148,477501,23875,2025
gaussian_batch_13_features.csv,0.0192615,0.99933029174166,1.0,0.9996650337059834,477501,23875,2025
gaussian_batch_14_features.csv,0.0192615,0.999455748136984,0.999916230366492,0.999685936224116,477501,23875,2025
gaussian_batch_15_features.csv,0.0192615,0.9993719119001758,0.9996649214659686,0.9995183952090791,477501,23875,2025
gaussian_batch_16_features.csv,0.00963075,0.9984109062016476,1.0,0.9992048212940488,477501,23875,2025
gaussian_batch_17_features.csv,0.00963075,0.9983274095755802,1.0,0.9991630048127224,477501,23875,2025
gaussian_batch_18_features.csv,0.00963075,0.9982856664994146,1.0,0.9991420978845388,477501,23875,2025
